作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数,能力指数,时区,,时区,时区内总和/总贡献度,时区内平均,时区内人数
Adrian Huang ,4,2,0,0,4,1.6578,-800,,-800,1312.7445,6.077520833,216
Ajay Gupta ,1,1,0,0,1,0.465,-800,,-700,63.8187,1.772741667,36
Akeem G Abodunrin ,1,1,0,0,1,0.465,-800,,-600,279.7662,5.595324,50
Akinobu Mita ,13,1,0,0,13,4.8318,-800,,-500,266.466,2.358106195,113
Alex Shi ,20,1,0,0,20,7.3791,-800,,-400,12.5346,1.04455,12
Alex Williams ,1,1,0,0,1,0.465,-800,,-300,24.456,1.6304,15
Alexander Potapenko ,2,2,0,0,2,0.93,-800,,0,305.6838,2.590540678,118
Alexandru Ardelean ,5,1,0,0,5,1.9206,-800,,100,686.2524,2.257409211,304
Alexei Starovoitov ,20,4,10,10,20,15.7044,-800,,200,211.9437,1.875607965,113
Alexey Dobriyan ,11,1,0,0,11,4.104,-800,,300,72.9834,2.28073125,32
Alistair Delva ,1,1,0,0,1,0.465,-800,,400,1.86,0.93,2
Amritha Nambiar ,1,1,0,0,1,0.465,-800,,530,87.2841,1.322486364,66
Andi Kleen ,2,1,0,0,2,0.8289,-800,,700,0.465,0.465,1
Andres Freund ,1,1,0,0,1,0.465,-800,,800,262.4106,1.299062376,202
Andrew Morton ,2,1,0,0,2,0.8289,-800,,900,47.7927,2.389635,20
Andrey Ignatov ,1,1,0,0,1,0.465,-800,,1000,66.348,13.2696,5
Andrey Smirnov ,12,1,0,0,12,4.4679,-800,,1030,3.4773,3.4773,1
Andrii Nakryiko ,19,7,0,0,19,7.6218,-800,,1100,26.8011,2.233425,12
Andy Shevchenko ,30,2,0,0,30,11.1192,-800,,1300,3.255,0.465,7
Aneesh Kumar K.V ,4,2,0,0,4,1.6578,-800,,,,,
Anirudh Venkataramanan ,4,1,0,0,4,1.5567,-800,,相关系数r,,,
Anton Eidelman ,1,1,0,0,1,0.465,-800,,,,,
