Author,Date,Area,,,,
Aaro Koskinen ,Wed Mar 4 13:17:40 2020 ,200,,,,
Aaron Liu ,Wed Dec 25 15:50:51 2019,800,,,,
abdoulaye berthe ,Wed Dec 11 15:18:08 2019,-500,,,,
Abdul Kabbani ,Fri Jan 24 16:34:02 2020,-500,,,,
Abhi Das ,Tue Feb 4 14:14:56 2020 ,-600,,,,
Adam Williamson ,Wed Feb 19 17:50:07 2020,100,,,,
Aditya Pakki ,Fri Feb 14 12:21:01 2020,-600,,,,
Adrian Huang ,Mon Jan 13 16:29:32 2020,-800,,,,
Adrian Hunter ,Mon Feb 17 10:23:00 2020,200,,,,
Aharon Landau ,Mon Dec 16 12:50:13 2019,200,,,,
Ahmad Fatoum ,Thu Jan 16 15:18:49 2020,100,,,,
Ahzo ,Tue Feb 25 13:56:14 2020,-500,,,,
Ajay Gupta ,Wed Jan 22 17:16:35 2020,-800,,,,
Ajay Singh ,Thu Jan 23 12:50:49 2020,0,,,,
Akeem G Abodunrin ,Thu Feb 6 01:20:05 2020 ,-800,,,,
Akhil P Oommen ,Fri Jan 24 17:50:11 2020,530,,,,
Akinobu Mita ,Thu Jan 30 22:16:13 2020,-800,,,,
Akshu Agrawal ,Thu Nov 21 14:36:17 2019,530,,,,
Al Cooper ,Mon Jan 13 16:07:06 2020,-500,,,,
Al Viro ,Sat Dec 21 21:35:55 2019,-500,,,,
Alain Michaud ,Wed Jan 22 19:47:44 2020,0,,,,
Alain Volmat ,Mon Jan 6 14:28:32 2020 ,100,,,,
Alan Maguire ,Tue Jan 14 16:09:43 2020,0,,,,
Alan Stern ,Fri Jan 31 10:39:26 2020,-500,,,,
Alberto Mattea ,Fri Mar 6 17:08:58 2020 ,200,,,,
Aleksa Sarai ,Thu Feb 13 18:26:56 2020,1100,,,,
Alex Deucher ,Tue Feb 18 13:20:30 2020,-500,,,,
Alex Maftei (amaftei) ,Wed Feb 26 17:33:19 2020,0,,,,
Alex Marginean ,Sat Jan 18 14:19:15 2020,200,,,,
Alex Shi ,Thu Jan 30 22:14:14 2020,-800,,,,
Alex Sierra ,Mon Jan 13 21:27:56 2020,-600,,,,
Alex Sverdlin ,Wed Jan 8 15:57:47 2020 ,100,,,,
Alex Williams ,Thu Jan 31 13:39:57 2019,-800,,,,
Alexander Lobakin ,Wed Jan 22 13:58:52 2020,300,,,,
Alexander Potapenko ,Thu Feb 20 20:04:30 2020,-800,,,,
Alexander Shishkin ,Tue Mar 17 08:22:15 2020,200,,,,
Alexander Tsoy ,Thu Feb 13 02:54:50 2020,300,,,,
Alexandra Winter ,Thu Feb 20 15:54:54 2020,100,,,,
Alexandre Belloni ,Wed Feb 19 15:15:51 2020,100,,,,
Alexandre Ghiti ,Mon Feb 17 00:28:47 2020,-500,,,,
Alexandre Oliva ,Tue Jan 21 09:30:45 2020,-300,,,,
Alexandru Ardelean ,Thu Feb 20 20:04:21 2020,-800,,,,
Alexandru Elisei ,Mon Jan 27 10:36:52 2020,0,,,,
Alexandru M Stan ,Wed Oct 23 14:06:31 2019,-700,,,,
Alexandru Tachici ,Wed Feb 19 16:31:12 2020,200,,,,
Alexei Starovoitov ,Fri Jan 31 16:03:14 2020,-800,,,,
Alexey Dobriyan ,Mon Feb 3 17:37:17 2020 ,-800,,,,
Alistair Delva ,Sun Feb 2 20:22:54 2020 ,-800,,,,
Alvin Lee ,Mon Dec 30 14:29:06 2019,-500,,,,
Amadeusz S??awi¨½ski ,Mon Dec 23 13:37:15 2019,100,,,,
Amanda Liu ,Fri Dec 6 15:12:30 2019 ,-500,,,,
Amelie Delaunay ,Thu Jan 9 13:55:31 2020 ,100,,,,
Amir Goldstein ,Fri Feb 21 16:34:42 2020,200,,,,
Amit Cohen ,Sun Jan 19 15:01:00 2020,200,,,,
Amit Kucheria ,Wed Nov 20 21:15:20 2019,530,,,,
Amol Grover ,Thu Mar 12 11:04:20 2020,530,,,,
Amritha Nambiar ,Mon Feb 24 10:56:00 2020,-800,,,,
Anand Jain ,Wed Feb 12 17:28:11 2020,800,,,,
Anand Lodnoor ,Tue Jan 14 16:51:22 2020,530,,,,
Anatol Pomazau ,Mon Jan 13 17:41:27 2020,-500,,,,
Andi Kleen ,Tue Jan 7 13:04:44 2020 ,-800,,,,
Andr¨¦ Hentschel ,Thu Jan 2 22:43:04 2020 ,100,,,,
Andrea Parri ,Wed Jan 22 19:39:52 2020,100,,,,
Andreas Dilger ,Sun Jan 26 15:03:34 2020,-700,,,,
Andreas Gruenbacher ,Tue Jan 14 17:12:18 2020,100,,,,
Andreas Kemnade ,Fri Jan 17 22:59:22 2020,100,,,,
Andreas Larsson ,Mon Jan 13 17:01:47 2020,100,,,,
Andrei Otcheretianski ,Fri Feb 21 10:47:20 2020,100,,,,
Andrei Vagin ,Tue Nov 12 01:27:23 2019,0,,,,
Andres Freund ,Wed Jan 8 20:30:30 2020 ,-800,,,,
Andrew F. Davis ,Wed Jan 22 12:20:17 2020,-500,,,,
Andrew Jones ,Mon Jan 20 14:08:25 2020,100,,,,
Andrew Lunn ,Wed Mar 11 21:02:31 2020,100,,,,
Andrew Morton ,Mon Feb 3 17:34:52 2020 ,-800,,,,
Andrew Murray ,Fri Jan 17 13:43:24 2020,0,,,,
Andrey Ignatov ,Fri Jan 24 14:41:42 2020,-800,,,,
Andrey Shvetsov ,Thu Jan 16 18:22:39 2020,100,,,,
Andrey Smirnov ,Tue Dec 10 08:41:53 2019,-800,,,,
Andrii Nakryiko ,Sat Feb 1 22:51:52 2020 ,-800,,,,
Andy Shevchenko ,Thu Jan 30 22:17:32 2020,-800,,,,
Aneesh Kumar K.V ,Mon Feb 3 17:36:46 2020 ,-800,,,,
Anilkumar Kolli ,Tue Dec 17 17:21:40 2019,100,,,,
Anirudh Ghayal ,Thu Jan 16 16:11:00 2020,0,,,,
Anirudh Venkataramanan ,Thu Feb 6 01:20:11 2020 ,-800,,,,
Anshuman Khandual ,Mon Jan 13 18:22:41 2020,100,,,,
Anson Huang ,Mon Feb 17 11:01:35 2020,800,,,,
Anthony Koo ,Fri Jan 10 14:44:28 2020,-500,,,,
Anthony Mallet ,Thu Mar 12 14:31:01 2020,100,,,,
Antoine Tenart ,Wed Feb 26 16:26:50 2020,100,,,,
Anton Eidelman ,Mon Feb 10 10:37:18 2020,-800,,,,
Anup Patel ,Sun Feb 2 16:32:02 2020 ,530,,,,
Anurag Kumar Vulisha ,Mon Jan 27 19:30:46 2020,0,,,,
Ard Biesheuvel ,Fri Dec 6 14:13:40 2019 ,-800,,,,
Aric Cyr ,Tue Jan 21 22:50:13 2020,-500,,,,
Arnaldo Carvalho de Melo ,Mon Mar 2 16:03:34 2020 ,-300,,,,
Arnaud Pouliquen ,Mon Jan 13 11:04:00 2020,100,,,,
Arnd Bergmann ,Fri Dec 13 15:31:07 2019,-700,,,,
Artem Savkov ,Fri Mar 6 18:43:17 2020 ,100,,,,
Artemy Kovalyov ,Thu Feb 27 13:39:18 2020,200,,,,
Arthur Heymans ,Mon Nov 18 11:19:31 2019,100,,,,
Arthur Kiyanovski ,Tue Feb 11 15:17:51 2020,0,,,,
Arun Easi ,Thu Jan 23 20:50:14 2020,-800,,,,
Arun Parameswaran ,Fri Feb 14 13:47:46 2020,-800,,,,
Arvind Sankar ,Fri Jan 3 12:39:49 2020 ,100,,,,
Aurelien Aptel ,Fri Feb 21 11:19:06 2020,100,,,,
Avihai Horon ,Sun Jan 26 19:15:00 2020,200,,,,
Avraham Stern ,Fri Jan 31 15:45:27 2020,200,,,,
Axel Lin ,Wed Mar 4 22:02:41 2020 ,800,,,,
Aya Levin ,Wed Feb 12 15:17:25 2020,200,,,,
Baolin Wang ,Wed Jan 8 11:23:46 2020 ,800,,,,
Baoquan He ,Sat Mar 21 18:22:13 2020,-700,,,,
Bard Liao ,Fri Jan 24 15:36:24 2020,-600,,,,
Barret Rhoden ,Wed Jan 15 11:03:57 2020,800,,,,
Bart Van Assche ,Wed Feb 12 21:09:00 2020,-800,,,,
Bartosz Golaszewski ,Fri Jan 10 10:22:12 2020,-800,,,,
Bean Huo ,Wed Jan 22 11:27:51 2020,100,,,,
Ben Chuang ,Wed Feb 19 17:29:00 2020,800,,,,
Ben Dooks ,Tue Oct 15 14:48:22 2019,100,,,,
Ben Dooks (Codethink) ,Fri Jan 24 01:01:35 2020,800,,,,
Ben Gardon ,Mon Feb 3 15:09:10 2020 ,-800,,,,
Ben Shelton ,Thu Feb 6 01:20:12 2020 ,-800,,,,
Ben Skeggs ,Mon Feb 3 03:37:07 2020 ,-500,,,,
Ben Whitten ,Sat Jan 18 20:56:24 2020,0,,,,
Beniamin Bia ,Tue Jan 14 13:21:59 2020,200,,,,
Benjamin Block ,Wed Feb 19 16:09:25 2020,100,,,,
Benjamin Gaignard ,Mon Jan 27 14:07:04 2020,-800,,,,
Benjamin Poirier ,Wed Feb 12 10:41:07 2020,900,,,,
Benjamin Thiel ,Thu Jan 9 14:13:51 2020 ,100,,,,
Benjamin Tissoires ,Thu Feb 13 17:07:47 2020,-800,,,,
Benoit Parrot ,Wed Dec 11 08:05:58 2019,-600,,,,
Benson Leung ,Fri Jan 10 15:06:16 2020,-800,,,,
Bernard Metzler ,Mon Mar 2 19:16:14 2020 ,100,,,,
Bhagavathi Perumal S ,Thu Jan 9 17:18:50 2020 ,530,,,,
Bharata B Rao ,Wed Jan 22 10:25:42 2020,530,,,,
Bhaskar Upadhaya ,Wed Jan 8 09:17:38 2020 ,-800,,,,
Bhawanpreet Lakha ,Thu Feb 20 11:16:14 2020,-500,,,,
Bibby Hsieh ,Mon Feb 17 17:10:19 2020,800,,,,
Bijan Mottahedeh ,Wed Feb 26 18:53:43 2020,-800,,,,
Biju Das ,Thu Oct 3 13:03:49 2019 ,100,,,,
Bin Liu ,Wed Jan 15 07:25:47 2020,-600,,,,
Bingbu Cao ,Sun Jan 19 05:26:55 2020,100,,,,
Bj??rn Mork ,Sat Feb 8 16:55:04 2020 ,100,,,,
Bj??rn T??pel ,Mon Jan 20 10:29:17 2020,100,,,,
Bjorn Andersson ,Fri Jan 24 09:59:34 2020,-800,,,,
Bjorn Helgaas ,Wed Jan 29 17:00:08 2020,-600,,,,
Bob Moore ,Fri Jan 10 11:31:50 2020,-800,,,,
Bob Peterson ,Mon Jan 20 15:49:28 2020,100,,,,
Boqun Feng ,Tue Nov 26 10:17:20 2019,800,,,,
Boris Brezillon ,Thu Feb 6 15:13:27 2020 ,100,,,,
Boris Ostrovsky ,Fri Dec 6 15:36:12 2019 ,0,,,,
Boris Protopopov ,Thu Dec 19 16:52:50 2019,0,,,,
Borislav Petkov ,Tue Feb 4 13:28:41 2020 ,100,,,,
Brahadambal Srinivasan ,Thu Jan 23 20:03:19 2020,530,,,,
Brandon Maier ,Thu May 30 17:52:23 2019,-500,,,,
Brandon Syu ,Thu Jan 9 14:19:20 2020 ,800,,,,
Brendan Higgins ,Fri Jan 31 14:18:32 2020,1030,,,,
Brett Creeley ,Tue Feb 18 13:22:06 2020,-800,,,,
Brian Masney ,Sat Jan 18 15:41:20 2020,-500,,,,
Brian Norris ,Mon Jan 6 14:42:12 2020 ,-800,,,,
Brian Vazquez ,Tue Feb 18 09:25:52 2020,-800,,,,
Bruce Allan ,Thu Feb 6 01:20:07 2020 ,-800,,,,
Bryan O'Donoghue ,Thu Dec 19 13:15:39 2019,0,,,,
Byungchul Park ,Mon Aug 5 18:22:27 2019 ,-400,,,,
Can Guo ,Thu Mar 5 00:53:07 2020 ,-800,,,,
Carlo Nonato ,Fri Mar 6 13:27:31 2020 ,100,,,,
Carlos Maiolino ,Thu Jan 9 14:30:45 2020 ,100,,,,
Casey Schaufler ,Mon Feb 3 09:15:00 2020 ,-800,,,,
Catalin Marinas ,Wed Feb 19 12:31:56 2020,0,,,,
Caz Yokoyama ,Wed Mar 4 14:13:59 2020 ,-800,,,,
Cengiz Can ,Wed Mar 4 13:58:19 2020 ,300,,,,
Cezary Rojewski ,Wed Jan 22 19:12:54 2020,100,,,,
Changbin Du ,Tue Feb 4 20:51:15 2020 ,800,,,,
changzhu ,Fri Feb 14 10:57:17 2020,800,,,,
Chanwoo Choi ,Thu Dec 26 14:23:49 2019,900,,,,
Chao Yu ,Tue Jan 14 19:36:50 2020,800,,,,
Charlene Liu ,Mon Dec 16 12:46:49 2019,-500,,,,
Charles Keepax ,Fri Feb 28 15:42:14 2020,0,,,,
chen gong ,Tue Jan 14 14:28:48 2020,800,,,,
Chen Wandun ,Mon Feb 10 16:27:59 2020,800,,,,
Chen Yu ,Wed Mar 18 18:55:48 2020,800,,,,
Chen Zhou ,Mon Feb 3 09:43:57 2020 ,800,,,,
Chengguang Xu ,Fri Aug 17 22:05:31 2018,800,,,,
chenqiwu ,Fri Feb 14 21:51:33 2020,800,,,,
