作者,commit总数
Aaro Koskinen ,2
Aaron Liu ,4
abdoulaye berthe ,1
Abdul Kabbani ,1
Abhi Das ,1
Adam Williamson ,1
Aditya Pakki ,2
Adrian Huang ,4
Adrian Hunter ,2
Aharon Landau ,1
Ahmad Fatoum ,1
Ahzo ,1
Ajay Gupta ,1
Ajay Singh ,6
Akeem G Abodunrin ,1
Akhil P Oommen ,1
Akinobu Mita ,13
Akshu Agrawal ,2
Al Cooper ,6
Al Viro ,47
Alain Michaud ,3
Alain Volmat ,1
Alan Maguire ,2
Alan Stern ,2
Alberto Mattea ,1
Aleksa Sarai ,4
Alex Deucher ,31
Alex Maftei (amaftei) ,13
Alex Marginean ,6
Alex Shi ,20
Alex Sierra ,8
Alex Sverdlin ,1
Alex Williams ,1
Alexander Lobakin ,10
Alexander Potapenko ,2
Alexander Shishkin ,4
Alexander Tsoy ,3
Alexandra Winter ,1
Alexandre Belloni ,16
Alexandre Ghiti ,2
Alexandre Oliva ,1
Alexandru Ardelean ,5
Alexandru Elisei ,1
Alexandru M Stan ,1
Alexandru Tachici ,4
Alexei Starovoitov ,20
Alexey Dobriyan ,11
Alistair Delva ,1
Alvin Lee ,3
Amadeusz S??awiński ,10
Amanda Liu ,1
Amelie Delaunay ,1
Amir Goldstein ,10
Amit Cohen ,16
Amit Kucheria ,11
Amol Grover ,8
Amritha Nambiar ,1
Anand Jain ,8
Anand Lodnoor ,11
Anatol Pomazau ,1
Andi Kleen ,2
André Hentschel ,2
Andrea Parri ,3
Andreas Dilger ,1
Andreas Gruenbacher ,4
Andreas Kemnade ,1
Andreas Larsson ,1
Andrei Otcheretianski ,3
Andrei Vagin ,23
Andres Freund ,1
Andrew F. Davis ,5
Andrew Jones ,1
Andrew Lunn ,6
Andrew Morton ,2
Andrew Murray ,2
Andrey Ignatov ,1
Andrey Shvetsov ,1
Andrey Smirnov ,12
Andrii Nakryiko ,19
Andy Shevchenko ,30
Aneesh Kumar K.V ,4
Anilkumar Kolli ,1
Anirudh Ghayal ,1
