作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数
Aaro Koskinen ,2,2,#N/A,#N/A,
Aaro Koskinen ,2,2,#N/A,#N/A,
Aaron Liu ,4,1,#N/A,#N/A,
Aaron Liu ,4,1,#N/A,#N/A,
abdoulaye berthe ,1,1,#N/A,#N/A,
abdoulaye berthe ,1,1,#N/A,#N/A,
Abdul Kabbani ,1,1,#N/A,#N/A,
Abdul Kabbani ,1,1,#N/A,#N/A,
Abhi Das ,1,1,#N/A,#N/A,
Abhi Das ,1,1,#N/A,#N/A,
Adam Williamson ,1,1,#N/A,#N/A,
Adam Williamson ,1,1,#N/A,#N/A,
Aditya Pakki ,2,2,#N/A,#N/A,
Aditya Pakki ,2,2,#N/A,#N/A,
Adrian Huang ,4,2,#N/A,#N/A,
Adrian Huang ,4,2,#N/A,#N/A,
Adrian Hunter ,2,1,#N/A,#N/A,
Adrian Hunter ,2,1,#N/A,#N/A,
Aharon Landau ,1,1,#N/A,#N/A,
Aharon Landau ,1,1,#N/A,#N/A,
Ahmad Fatoum ,1,1,#N/A,#N/A,
Ahmad Fatoum ,1,1,#N/A,#N/A,
Ahzo ,1,1,#N/A,#N/A,
Ahzo ,1,1,#N/A,#N/A,
Ajay Gupta ,1,1,#N/A,#N/A,
Ajay Gupta ,1,1,#N/A,#N/A,
Ajay Singh ,6,1,#N/A,#N/A,
Ajay Singh ,6,1,#N/A,#N/A,
Akeem G Abodunrin ,1,1,#N/A,#N/A,
Akeem G Abodunrin ,1,1,#N/A,#N/A,
Akhil P Oommen ,1,1,#N/A,#N/A,
Akhil P Oommen ,1,1,#N/A,#N/A,
Akinobu Mita ,13,1,#N/A,#N/A,
Akinobu Mita ,13,1,#N/A,#N/A,
Akshu Agrawal ,2,2,#N/A,#N/A,
Akshu Agrawal ,2,2,#N/A,#N/A,
Al Cooper ,6,1,#N/A,#N/A,
Al Cooper ,6,1,#N/A,#N/A,
Al Viro ,47,6,#N/A,#N/A,
Al Viro ,47,6,#N/A,#N/A,
Alain Michaud ,3,1,#N/A,#N/A,
Alain Michaud ,3,1,#N/A,#N/A,
Alain Volmat ,1,1,#N/A,#N/A,
Alain Volmat ,1,1,#N/A,#N/A,
Alan Maguire ,2,2,#N/A,#N/A,
Alan Maguire ,2,2,#N/A,#N/A,
Alan Stern ,2,1,#N/A,#N/A,
Alan Stern ,2,1,#N/A,#N/A,
Alberto Mattea ,1,1,#N/A,#N/A,
Alberto Mattea ,1,1,#N/A,#N/A,
Aleksa Sarai ,4,1,#N/A,#N/A,
Aleksa Sarai ,4,1,#N/A,#N/A,
Alex Deucher ,31,2,#N/A,#N/A,
Alex Deucher ,31,2,#N/A,#N/A,
Alex Maftei (amaftei) ,13,1,#N/A,#N/A,
Alex Maftei (amaftei) ,13,1,#N/A,#N/A,
Alex Marginean ,6,2,#N/A,#N/A,
Alex Marginean ,6,2,#N/A,#N/A,
Alex Shi ,20,1,#N/A,#N/A,
Alex Shi ,20,1,#N/A,#N/A,
Alex Sierra ,8,1,#N/A,#N/A,
Alex Sierra ,8,1,#N/A,#N/A,
Alex Sverdlin ,1,1,#N/A,#N/A,
Alex Sverdlin ,1,1,#N/A,#N/A,
Alex Williams ,1,1,#N/A,#N/A,
Alex Williams ,1,1,#N/A,#N/A,
Alexander Lobakin ,10,4,#N/A,#N/A,
Alexander Lobakin ,10,4,#N/A,#N/A,
Alexander Potapenko ,2,2,#N/A,#N/A,
Alexander Potapenko ,2,2,#N/A,#N/A,
Alexander Shishkin ,4,4,#N/A,#N/A,
Alexander Shishkin ,4,4,#N/A,#N/A,
Alexander Tsoy ,3,1,#N/A,#N/A,
Alexander Tsoy ,3,1,#N/A,#N/A,
Alexandra Winter ,1,1,#N/A,#N/A,
Alexandra Winter ,1,1,#N/A,#N/A,
Alexandre Belloni ,16,4,#N/A,#N/A,
Alexandre Belloni ,16,4,#N/A,#N/A,
Alexandre Ghiti ,2,1,#N/A,#N/A,
Alexandre Ghiti ,2,1,#N/A,#N/A,
Alexandre Oliva ,1,1,#N/A,#N/A,
Alexandre Oliva ,1,1,#N/A,#N/A,
Alexandru Ardelean ,5,1,#N/A,#N/A,
Alexandru Ardelean ,5,1,#N/A,#N/A,
Alexandru Elisei ,1,1,#N/A,#N/A,
Alexandru Elisei ,1,1,#N/A,#N/A,
Alexandru M Stan ,1,1,#N/A,#N/A,
Alexandru M Stan ,1,1,#N/A,#N/A,
Alexandru Tachici ,4,2,#N/A,#N/A,
Alexandru Tachici ,4,2,#N/A,#N/A,
Alexei Starovoitov ,20,4,#N/A,10,
Alexei Starovoitov ,20,4,#N/A,10,
Alexey Dobriyan ,11,1,#N/A,10,
Alexey Dobriyan ,11,1,#N/A,10,
Alistair Delva ,1,1,#N/A,10,
Alistair Delva ,1,1,#N/A,10,
Alvin Lee ,3,1,#N/A,10,
Alvin Lee ,3,1,#N/A,10,
Amadeusz S??awiński ,10,2,#N/A,10,
Amadeusz S??awiński ,10,2,#N/A,10,
Amanda Liu ,1,1,#N/A,10,
Amanda Liu ,1,1,#N/A,10,
Amelie Delaunay ,1,1,#N/A,10,
Amelie Delaunay ,1,1,#N/A,10,
Amir Goldstein ,10,4,#N/A,10,
Amir Goldstein ,10,4,#N/A,10,
Amit Cohen ,16,2,#N/A,10,
Amit Cohen ,16,2,#N/A,10,
Amit Kucheria ,11,1,#N/A,10,
Amit Kucheria ,11,1,#N/A,10,
Amol Grover ,8,2,#N/A,10,
Amol Grover ,8,2,#N/A,10,
Amritha Nambiar ,1,1,#N/A,10,
Amritha Nambiar ,1,1,#N/A,10,
Anand Jain ,8,2,#N/A,10,
Anand Jain ,8,2,#N/A,10,
Anand Lodnoor ,11,1,#N/A,10,
Anand Lodnoor ,11,1,#N/A,10,
Anatol Pomazau ,1,1,#N/A,10,
Anatol Pomazau ,1,1,#N/A,10,
Andi Kleen ,2,1,#N/A,10,
Andi Kleen ,2,1,#N/A,10,
André Hentschel ,2,1,#N/A,10,
André Hentschel ,2,1,#N/A,10,
Andrea Parri ,3,1,#N/A,10,
Andrea Parri ,3,1,#N/A,10,
Andreas Dilger ,1,1,#N/A,10,
Andreas Dilger ,1,1,#N/A,10,
Andreas Gruenbacher ,4,2,#N/A,10,
Andreas Gruenbacher ,4,2,#N/A,10,
Andreas Kemnade ,1,1,#N/A,10,
Andreas Kemnade ,1,1,#N/A,10,
Andreas Larsson ,1,1,#N/A,10,
Andreas Larsson ,1,1,#N/A,10,
Andrei Otcheretianski ,3,1,#N/A,10,
Andrei Otcheretianski ,3,1,#N/A,10,
Andrei Vagin ,23,1,#N/A,10,
Andrei Vagin ,23,1,#N/A,10,
Andres Freund ,1,1,#N/A,10,
